xpath,frequency,uniques
/dictionary/body/p/def/chreact/,2,2
/dictionary/body/p/see/simto/,2,2
/dictionary/body/p/def/subord/,24,21
/dictionary/body/p/cs/cd/etsep/,50,50
/dictionary/body/p/note/exp/,14,11
/dictionary/body/p/def/cd/sig/,2,2
/dictionary/body/p/def/var/,4,4
/dictionary/body/p/note/englishtype/sc/,2,2
/dictionary/body/p/cs/note/rj/,2,2
/dictionary/body/p/def/sn/,4,3
/dictionary/body/p/usage/contr/,4,4
/dictionary/body/p/note/fract/mathex/,4,3
/dictionary/body/p/usage/cref/,2,2
/dictionary/body/p/cs/cd/as/subs/,4,4
/dictionary/body/p/mcol/it/,6,2
/dictionary/body/p/stype/er/,2,2
/dictionary/body/p/def/branchof/,2,2
/dictionary/body/p/def/city/,123,102
/dictionary/body/p/mtable/row/item/i/,2,2
/dictionary/body/p/note/iref/,20,17
/dictionary/body/p/usage/it/,16,10
/dictionary/body/p/centered/point16/,1,1
/dictionary/body/p/caption/note/,3,3
/dictionary/body/p/def/as/examp/,92,70
/dictionary/body/p/def/ex/,967,843
/dictionary/body/p/ety/sig/,4,4
/dictionary/body/p/cs/cd/ship/,2,2
/dictionary/body/p/cs/col/plain/,1,1
/dictionary/body/p/ety/sc/,10,8
/dictionary/body/p/def/person/ets/,2,2
/dictionary/body/p/plu/pr/i/,4,3
/dictionary/body/p/note/subtypes/,1,1
/dictionary/body/p/q/mark/it/,2,2
/dictionary/body/p/q/spn/,6,6
/dictionary/body/p/subtypes/mstypec/it/,4,2
/dictionary/body/p/mhw/hw/supr/,4,3
/dictionary/body/p/syn/b/,10142,2
/dictionary/body/p/note/bourgeoistype/xex/,2,2
/dictionary/body/p/cs/cd/ety/xex/,4,4
/dictionary/body/p/def/as/styp/,6,2
/dictionary/body/p/pr/i/,938,191
/dictionary/body/p/cs/cd/altname/,3522,2830
/dictionary/body/p/cs/ety/,343,120
/dictionary/body/p/mhw/pr/i/,46,17
/dictionary/body/p/def/altname/er/,9,9
/dictionary/body/p/bio/person/,90,83
/dictionary/body/p/note/emits/,6,6
/dictionary/body/p/def2/fld/,44,8
/dictionary/body/p/def/mathex/exp/,38,21
/dictionary/body/p/see/ex/,16,10
